speaker,saying,categories
도로시 C. 피셔,사람의 표정이란 타고나는 것이 아니다. 표정은 연륜이 우리 얼굴에 남기는 서명일 뿐이다.,"['사람', '표정']"
레이 D. 에버슨,남에게 호감을 주려면 많은 생각과 노력과 철두철미한 결단력이 필요하다.,"['호감', '인간관계']"
매리 J. 아이리언,"평범한 날이여, 그대의 귀한 가치를 깨닫게 하여라.",['일상']
헤이즐 스코트,"아이들이 자라면, ""우리는 왜 태어났어요""라고 묻는 때가 닥쳐오기 마련이다. 그런데 부모 자신이 그때까지 그 이유를 알고 있다면 정말 놀라운 일일 것이다.","['부모', '자녀교육']"
돈 마키스,중년이란 한두 주일 뒤면 기분이 전처럼 좋아지겠지 하는 생각을 언제나 하면서 지내는 때이다.,"['중년', '나이']"
안와르 엘 사다트,자기 사상의 밑바탕을 바꿀 수 없는 사람은 결코 현실을 바꾸지 못한다.,"['사상', '현실']"
불가리아 속담,"중대한 위기에 처한 경우엔, 고비를 넘길 때까지만은 악마와 함께 가도 좋다.",['위기']
토마스 후드,행복 가운데는 두려운 행복도 있다.,['행복']
빅토르 위고,품위가 깃든 주름살 앞에서는 고개가 숙여진다. 행복한 노년에는 이루 표현할 수 없는 새벽의 신선함이 있는 법이다.,"['노인', '주름살']"
이사도라 덩컨,자녀에게 물려 줄 최상의 유산은 자립해서 제 길을 갈 수 있는 능력을 길러 주는 것이다.,"['자녀교육', '유산']"
댄 베네트,참다운 자선은 그것이 면세가 되건 말건 상관하지 않는다.,['자선']
로저 볼드윈,권리는 그것을 지킬 용기가 있는 자에게만 주어진다.,['권리']
톨스토이,욕심이 작으면 작을수록 인생은 행복하다. 이 말은 낡았지만 결코 모든 사람이 다 안다고는 할 수 없는 진리이다.,"['욕심', '행복']"
토마스 모어,돈이 권력을 크게 흔들 수 있는 곳에서는 국가의 올바른 정치나 번영을 바랄 수 없다.,"['돈(money)', '권력', '정치']"
에머슨,우리의 마음 속에 있는 청렴보다 더 신성한 것은 없다.,['청렴']
충자,"관직을 다스릴 때에는 공평함만한 것이 없고, 재물에 임하여는 청렴함 만한 것이 없다.","['관직', '재물']"
정약용,청렴은 목민관(牧民官)의 본무(本務)요 모든 선(善)의 근원이요 덕의 바탕이니 청렴하지 않고서는 능히 목민관이 될 수 없다.,"['청렴', '목민관']"
노자,재물과 보화가 가득 차 있을지라도 언제까지나 그것을 지켜낼 수는 없다. 부귀한 지위에 만족하고 교만에 차 있으면 스스로 화를 불러들이게 될 것이다. 공을 이루고 이름을 떨쳤으면 몸을 빼는 것이 하늘의 도(道)이다.,"['인생살이', '사회생활', '처세', '도(道)', '도(tao)']"
에라스무스,검약은 훌륭한 소득이다.,"['검약', '소득']"
윌리엄 셰익스피어,"겁쟁이는 죽기 전에 여러 번 죽지만, 용기있는 자는 한 번밖에 죽지 않소.","['겁쟁이', '죽음', '용기', '용자']"
빅토르 마리 위고,"겨울은 하늘의 물도, 사람의 마음도 돌처럼 만들어 버린다.",['겨울']
엔니우스,"선행도 잘못 행해지면, 악행이라 생각된다.","['선행', '악행']"
예이츠,"결백한 자와 미인은, 시간 이외에는 적이 없다.","['결백', '미인', '시간']"
프랑스 속담,결점 없는 사람을 고르다간 끝내 벗을 얻을 수 없다.,"['우정', '친구']"
발레리,결함이 나의 출발의 바탕이고 무능이 나의 근원이다.,"['자기자신', '무능']"
L.N. 톨스토이,"결혼도 역시 일반 약속과 마찬가지로 성을 달리하는 두 사람 즉, 나와 그대 사이에만 아이를 낳자는 계약이다. 이 계약을 지키지 않는 것은 기만이며 배신이요, 죄악이다.","['결혼', '약속', '계약']"
시몬베유,미래를 기다려서는 않되며 우리 스스로 만들어야 하는 것이다.,['미래']
보들레르,우리가 자랑삼아 그녀를 찬양하여 노래 부르자 그녀의 좋아함을 아무도 못 당하리.,['여자']
볼테르,의심 많은 사람은 스스로 배반당하는 꼴이다.,"['의심', '사람']"
제퍼슨,"깃털 침대에 편안히 누워서, 독재가 민주주의로 바뀌기를 바랄 수는 없다.","['민주주의', '독재']"
롤랑,가장 높고 우뚝 솟은 나무들이 번개를 무서워 할 가징 큰 이유를 가젔다.,"['나무', '장단점', '지도자']"
몽테뉴,지혜와 학식을 증대시키려는 욕망이야말로 인간 타락의 첫걸음이었다. 이 길 때문에 인간은 영원의 가책으로 떨어졌다.,"['인간', '타락']"
독일 속담,어떤 여자는 제 자식은 공작이라고 생각한다.,"['여자', '자녀']"
홍자성,"뜻을 굽혀서 남으로부터 기쁨을 얻기 보다는 내 몸의 행실을 곧게 하여 사람들의 미움을 받음이 더 나으며, 좋은 일 한 것도 없이 남의 칭찬을 받는 것 보다는 나쁜 일을 하지 않고서 남의 헐뜻음을 당하는 것이 더욱 낫다.",['인생살이']
소학,"자식된 도리로서 외출할 때는 반드시 고하여야 하며, 돌아와서도 반드시 뵙고, 노는 곳이 있으면 반드시 떳떳함이 있어야 하며, 익히는 것이 있으면 반드시 끝을 마쳐야 하며, 부모가 살아 계실 때는 언제나 자기 스스로를 늙었다 하지 아니한다.",['효도']
장자,사람의 입을 굴복시키기는 쉬워도 그의 마음을 굴복시키기는 어렵다.,"['사람', '굴복', '마음']"
필립스,사람은 나이를 먹는 것이 아니라 좋은 포도주처럼 숙성하는 것이다.,"['사람', '나이']"
칸트,도덕이란 언제나 앞으로만 나아가는 것이다. 그리고 그것은 언제든지 새로 다시 출발하는 것이다.,['도덕']
사마천,지혜로운 자는 천 번의 생각 중에 반드시 한 번의 실수가 있고 어리석은 자는 천 번의 생각 중에 반듯이 한 번의 이득이 있다.,"['지자', '우자', '생각']"
사브레,참으로 위대한 특성도 그것을 실제로 이용하지 않으면 없는 것과 같다.,"['활용', '이용']"
몽테뉴,대화에서 침묵은 위대한 화술이다. 자기의 입을 닫을 때를 아는 사람은 바보가 아니다.,"['대화', '침묵', '화술']"
스탕달,경멸은 늘 정중한 말속에 교묘하게 감추어져 있다.,"['경멸', '말(words)']"
존 밀턴,"마음은 극히 주관적인 장소이므로, 그 안에서는 지옥도 천국이 될 수 있고 천국이 지옥으로 될 수도 있다.",['마음']
아다 베야르,장미의 향기는 그 꽃을 준 손에 항상 머물러 있다.,"['장미', '향기', '친절']"
모리스 슈발리에,사람은 자기의 꿈―과거에 대한 추억의 꿈과 미래를 향한 열렬한 꿈―을 가져야 한다. 나는 새로운 목표를 향해 나아가기를 결코 멈추지 않으련다.,"['꿈(dream)', '목표']"
조지 W. 카버,지극한 사랑 앞에서는 그 무엇이나 제 비밀을 털어놓는다.,"['사랑', '비밀']"
사샤 기트리,지혜는 경험에서 우러나온다. 경험은 어리석음 속에서 얻어진다.,"['지혜', '경험']"
밀튼 프리드먼,언제나 문제 해결의 최선책은 남의 돈을 들이는 것인 듯.,"['돈(money)', '문제해결']"
대니얼 스턴,건전한 판단력은 정신의 경비원이다. 수상쩍은 생각이 머리 속으로 들어가는가 나가는가 감시하는 일이 그 임무이다.,"['판단력', '정신']"
제임스 볼드윈,문제를 직면한다고 해서 다 해결되는 것은 아니다. 그러나 직면하지 않고서 해결되는 문제는 없다.,['문제']
빌 코플랜드,"""단 한 번의 인생""이니까 함부로 산다는 것은 말이 안 되는 변명이다.",['인생']
마야 안젤루,아이들이 잘 참는 것은 그 외에 딴 방법도 있다는 것을 모르기 때문이다.,['아이(child)']
클로드 맥도널드,다수란 때로 바보들이 한쪽에 많이 몰려 있기 때문에 형성되는 것이다.,['다수']
바이런,"죽음으로써 모든 비극은 끝나고, 결혼으로써 모든 희극은 끝난다.","['죽음', '결혼']"
스마일즈,연애가 있기 때문에 세상은 항상 신선하다. 연애는 인생의 영원한 음악으로 청년에게는 빛을 주고 노인에게는 후광을 준다.,"['연애', '청년', '노인']"
풀러,"현처의 내조로 천하를 얻은 사람이 있는가 하면, 악처 때문에 천하를 잃은 자도 있다.",['아내']
러시아 명언,남편의 죄는 문턱에서 멈춰지지만 아내의 죄는 집안으로 밀려든다.,"['남편', '아내', '죄(sin)']"
주베르,그 여자가 남자였다면 친구로 사귈 만한 여자가 아니면 그 여자를 아내로 선택하지 말라.,"['여자', '아내', '결혼']"
몽테를랑,부부가 싸우는 것은 서로 얘기거리가 아무 것도 없기 때문이다. 그것은 두 사람이 시간을 보내기 위한 하나의 방법이다.,"['부부', '싸움']"
세르반테스,행실이 좋지 못한 여자의 남편은 아내의 불륜을 알고 있는 사람들로부터 동정은커녕 오히려 심한 멸시를 받게 된다.,"['남편', '아내', '불륜']"
헤릭,눈물은 눈의 멋진 언어다.,['눈물']
훔볼트,청춘의 신성함이 결혼생활의 진정한 기초가 된다.,['결혼']
몽테스키외,이혼이란 발달된 문명세계에서는 필요한 것이다.,['이혼']
에이브리,"사랑없는 가정은, 혼 없는 신체가 사람이 아니듯이 결코 가정이 아니다.",['가정']
몰리에르,여자의 큰 야망은 남자의 가슴에 연정을 불러일으키는 것이다.,"['여자', '남자', '사랑']"
몽테롤랑,여성은 연애에는 한계가 없다고 강력하게 주장한다. 반대로 남성은 연애에는 한계가 있다고 보고 있다.,"['여성', '남성', '연애']"
신약 에베소서,남편들은 자기 아내 사랑하기를 제 몸같이 할지니 자기 아내를 사랑하는 자는 자기를 사랑하는 것이니라.,['남편']
세르반테스,늙었다. 이 말은 그 어떤 여자도 참기 힘든 모욕이다.,"['여자', '나이']"
셰익스피어,"남자는 구혼할때는 화사한 4월, 결혼을 하면 12월. 처녀는 처녀일 때는 맑게 개인 5월이지만 결혼을 해버리면 기압이 이상해진다.","['결혼', '남자', '여자']"
카이,절차를 밟은 결혼을 하지 못할 경우에도 연애는 도덕적이다. 그러나 연애가 수반되지 않는 결혼은 부도덕이다.,"['결혼', '연애']"
니체,"결혼, 그것은 하나를 창조하려는 두 사람의 의지이다.",['결혼']
프랑스 속담,결혼은 최고 아니면 최악 어느 한쪽일 것이다.,['결혼']
네덜란드 속담,"초혼은 의무, 재혼은 바보, 세번째 결혼하는 자는 미치광이다.","['결혼', '초혼', '재혼']"
니체,모친은 자식의 친구들이 어떤 특별한 성공을 하면 그 친구들을 시기하기 쉽다. 모친은 대게 자기의 자식을 사랑한다기보다 자식 속의 자기를 사랑하고 있다.,"['모친', '어머니']"
서양 격언,돈이 없이 연애 결혼을 하면 즐거운 밤과 슬픈 낮을 갖게 된다.,"['결혼', '돈(money)']"
장 드 라브뤼예르,여자가 남자에게 마음에도 없는 말을 하는 것은 별로 힘드는 일이 아니다.,['여자']
예기,결혼은 자손 만대의 시작이다.,['결혼']
루이스 K 앤스패처,"결혼이란 남녀간의 관계를 말함인데 독립성은 평등해야 하고, 의존성은 상호적이고, 의무는 상대적이어야 한다.",['결혼']
존 릴리,결혼이란 하늘에서 맺어지고 땅에서 완성된다.,['결혼']
프랭클린,"결혼 전에는 눈을 크게 뜨고, 결혼 후에는 반쯤 감아라.",['결혼']
라 로시푸코,겸손은 남의 칭찬을 싫어하는 듯이 보이지만 사실은 좀더 넌즈시 칭찬받고 싶다는 욕망에 불과하다.,"['겸손', '칭찬']"
P.J. 베일리,겸손은 모든 미덕의 근본이다.,['겸손']
W. 셰익스피어,"겸손은 범인에게는 한갓 성실이지만, 위대한 재능의 소유자인 사람에게는 위선이다.","['겸손', '범인(mediocrity)', '재능인']"
라 로시푸코,겸손은 신이 우리에게 제물을 바치기 바라는 제단이다.,"['겸손', '신(god)']"
브하그완,겸손은 신이 인간에게 내린 최고의 덕이다.,['겸손']
H. 발자크,겸손은 육체의 양심이다.,['겸손']
피터 드브리스,자녀가 태어나기 전부터 자녀를 갖기에 족할 만큼 성숙한 사람이 어디 있겠는가 결혼의 가치는 어른들이 자식을 만들어 내는 데 있지 않고 아이들이 어른을 만들어 내는 데 있다.,['결혼']
조지 크랩,큰 거짓말은 마른 땅 위에 오른 큰 물고기와 마찬가지. 그것은 안달을 하며 날뛰어 몹시 성가시지만 당신을 해칠 수는 없다. 가만히 놓아 두면 제풀에 죽고 마는 법이다.,['거짓말']
C.S. 루이스,용서하는 것과 용서 받는 것은 같은 일을 달리 말한 것. 중요한 것은 불화가 해소되었다는 것이다.,['용서']
알린 블럼,인간은 결코 산을 정복하지 못한다. 우리는 잠시 그 정상에 서 있을 수는 있지만 바람이 이내 우리의 발자국을 지워 버린다.,['산(mountain)']
존 누빈,새로운 사상을 대했을 때 느끼는 고통의 정도를 가지고 자신의 나이를 판단할 수도 있다.,"['나이', '사상']"
오토 폰 비스마르크,"어떤 사람이 자기는 원칙적으로 그 일에 찬성한다고 말할 경우, 그 사람은 그것을 실천에 옮길 의향이 전혀 없음을 뜻한다.",['찬성']
엘리자베드 제인웨이,오래된 규범의 가치에 의심을 품는 것은 단순히 그것을 파기하는 것과 다르다는 사실을 우리는 알아야 한다.,"['규범', '전통']"
와일드,여자는 모두가 자신의 어머니와 꼭 같은 여인으로 변신한다. 이것이 여자의 비극이다. 남자는 그렇게 되지 않는다. 그것이 남자의 비극이다.,"['여자', '남자']"
나폴레옹,숭고한 것과 우스운 것의 간격은 한뼘밖에 되지 않는다.,['숭고함']
이율곡,학자는 모름지기 부귀를 가벼이 알고 빈천을 지키겠다는 마음을 가져야 할 것이니라.,['학자']
버너드 쇼,"인간은, 별로 필요 없는 것을 많이 배우는 것보다는, 필요한 것을 적게 생각하는 것이 낫다.",['인생살이']
『신약성서』,남에게 대접을 받고자 하는 대로 너희도 남을 대접하라.,['인간관계']
로당,가장 아름다운 주제는 바로 그대의 눈 앞에 있다.,['주제']
호라티우스,충고를 하게 될 때 나는 가능하면 짧게 하라고 충고한다.,['충고']
보들레르,감옥에서는 시는 폭동이 된다. 병실에서는 시는 완쾌에의 불타는 희망이 된다. 누추한 지붕 밑 다락방에서는 시는 선녀와 같이 호화롭게 그리고 우아하게 몸을 장식한다.,['시(poetry)']
알프레드 더글러스,"모든 좋은 시는 피와 땀과 눈물로써 고리가 이어지듯 천천히, 그리고 끈질기게 만들어진다.",['시(poetry)']
볼테르,"책도 사람의 경우와 같다. 소수가 큰 역할을 하고, 그 나머지는 대부분 사라진다.","['책(book)', '사람']"
공자,예를 모르면 남 앞에 나설 길이 없다.,['예의']
칸트,미에는 객관적인 원리가 없다.,"['미(beauty)', '아름다움']"
위고,격렬한 말은 이유가 박약하다는 것을 증명하고 있는 것이다.,['말(words)']
서양 속담,당나귀가 여행을 떠났다고 해서 말이 되어 돌아올 수 있는 것은 아니다.,"['본질', '당나귀', '여행']"
워싱턴,"도박은 탐욕의 자식이고, 부정의 형제이고, 불행의 아버지인 것이다.",['도박']
올컷,숭고한 예의는 아름다운 마음의 외투. 이 마음이 없이는 참되게 위대한 것이 없다.,['예의']
에머슨,예절은 다른 사람들도 예절을 지켜 줘야 구실을 한다.,['예절']
모어,유토피아란 가짜가 하나도 없는 사회를 말한다. 혹은 진실이 하나도 없는 사회라 해도 좋다.,"['유토피아(utopia)', '사회']"
에디슨,"독서와 정신의 관계는, 운동과 육체의 관계와 마찬가지이다.","['독서', '정신']"
바이런,지혜는 슬픔이다. 가장 많이 아는 자는 숙명적인 진리를 가장 깊이 한탄하지 않으면 안된다.,['지혜']
마더 테레사,우리는 이 세상에서 위대한 일을 할 수는 없다. 단지 위대한 사랑을 갖고 작은 일들을 할 수 있을 뿐이다.,['사랑']
생텍쥐페리,인간을 사랑할 것. 아무리 나약한 인간이나 초라하고 불쌍한 인간도 사랑할 것. 그리고 그들을 심판하지 말 것.,"['인간', '사랑']"
어니 젤린스키,"우정에 정력을 쏟아라. 그러면 당신에게 돌아오는 대가는 놀라울 만큼 만족스러울 것이다. 친구들이 당신을 필요로 할 때 당신이 그들에게 도움을 준다면, 당신이 후원과 위안을 얻기 위해 그들을 필요로 할 때 좋은 친구들이 도움을 줄 것이다. 롱펠로우가 말했듯이 친구를 가지려면 친구가 되어라.",['우정']
피카이로,"결혼이란 단순히 만들어 놓은 행복의 요리를 먹는 것이 아니고, 이제부터 노력하여 행복의 요리를 둘이서 만들어 먹는 것이어야 한다.","['결혼', '행복']"
에드워드 에버렛 해일,나는 단지 한 사람의 인간에 불과하다. 그렇더라도 나는 어디까지나 인간이다. 나는 모든 것을 다 할 수는 없다. 그렇더라도 나는 어떤 것은 할 수 있다. 그리고 모든 것을 다 할 수 없다고 해서 내가 할 수 있는 어떤 것까지 포기하지는 않을 것이다.,['인간']
채근담,기분이 좋을 때 쉽게 약속 하지 마라. 충동적으로 행동 하지 마라. 그리고 지쳤다고 하더라도 일을 미완성인 채 내버려두지 말라.,"['인생살이', '약속', '행동', '일(work)']"
R.H 슐러,위대하다는 사람도 결국은 비상한 결심을 가진 평범한 사람에 불과하다.,"['결심', '사람', '위인']"
에이브러햄 링컨,대부분의 사람은 마음 먹은 만큼 행복하다.,['행복']
엘버트 허바드,삶에서 아무 문제도 갖고 있지 않은 사람은 이미 인생이란 경기에서 제외된 사람이다.,"['인생살이', '삶', '문제']"
존 러스킨,겸손하고 양보하는 마음은 인격을 완성하는데 있어서 절대 필요한 양식이다. 이러한 인격 완성의 양식이 떨어지면 사람들은 교만하고 약해진다.,['인격']
레프 니콜라예비치 톨스토이,겸손하지 못한 사람은 언제나 타인을 비난한다. 그런 사람은 다만 타인의 그릇된 것만을 인정한다. 그럼으로써 그사람 자신의 욕망과 죄과는 점점 더 커가는 것이다.,"['겸손', '불손', '비난', '죄(sin)']"
번연,겸손한 사람은 언제나 신을 그의 안내자로 삼을 것이다.,"['겸손', '신(god)']"
니콜라스 브레튼,경험은 지식의 어머니이다.,['경험']
이태백,고난과 불행이 찾아올 때에 비로소 친구가 친구임을 안다.,['친구']
에리카 종,재능은 누구나 가지고 있지만 재능을 실현하기 위해 걸어야 할 어려운 과정을 밟을 용기를 지닌 사람은 드물다.,['재능']
타키,"아무리 높은 왕좌에 앉아 있을망정, 사람은 엉덩이로 앉게 마련이라는 것을 일깨워 주는 것이 유머.",['유머(humor)']
헨리 데이비드 소로우,이른 아침의 산책은 그날 하루를 위한 축복이다.,"['산책', '걷기']"
엘리노어 루스벨트,아기가 태어날 때 삼신할머니가 줄 수 있는 가장 좋은 선물은 호기심이다.,['호기심']
헨리 해스킨스,인간들이 사리사욕을 위해 남을 속이는 것은 전적으로 신만이 져야 할 책임이다.,"['인간', '속임', '신(god)']"
세네카,"인간이 추위와 굶주림, 갈증에 대비하는 이외의 모든 것은 오직 허식이며 낭비일 뿐이다.","['인간', '삶']"
오마 브레들리,전쟁에서 이등상이란 없다.,['전쟁']
C.R. 깁슨,무엇이 이 세상을 움직여 가는지 이해할 나이가 되면 당신은 현기증이 심해서 그것에 대해 신경쓸 겨를이 없게 된다.,"['인생살이', '나이']"
실비아 A. 보이롤,무지개는 하늘이 성낸 것을 사과하는 것.,['무지개']
프랭크 A. 클라크,자녀들의 교육 내용에 지나치게 간섭한 대가는 부모보다 우둔한 자손이 생겨나는 것.,['자녀교육']
G.K. 체스터튼,짐스럽다고 육봉을 떼어낸 낙타는 이미 낙타가 아니다.,"['낙타', '본질']"
마크 트웨인,천둥도 그럴싸하고 인상적이지만 정작 그 일을 해내는 것은 번개.,"['천둥', '번개']"
플라톤,어느 누구도 죽음이 무엇인지 모른다. 죽음이 인간에게 있어 그 어떠한 것보다 위대한 것이 아닌지 또한 알 수 없다. 하지만 인간은 죽음이 가장 거대한 죄악이라고 것을 잘 알고 있는 것처럼 죽음을 두려워한다.,['죽음']
아이작 뉴턴,"세상이 나를 어떻게 보는 지는 잘 모르겠다. 하지만 나는 스스로를 바닷가에서 장난을 치는 소년이라고 생각해 왔다.
평범한 조약돌이나 조개껍질이 아닌, 더 동그랗고 특이한 조약돌과 더 예쁜 조개껍질을 찾아다니는 소년 말이다. 
내앞에는 거대한 진리의 바다가 많은 비밀을 간직한 채 펼쳐져있었다.","['진리', '자기자신']"
원스턴 처칠,나는 창조주를 만날 준비가 되어있다. 다만 창조주께서 나를 만나야 하는 시련에 준비가 되어 있는지는 또 다른 문제이겠지만.,['죽음']
루이 14세,왜 우느냐? 내가 영원히 살 것이라고 생각했느냐? 죽는 것이 사는 것보다 더 힘들구나.,['죽음']
이순신,"너를 벤 것이 아니라 나를 벤것이다. 친구의 얼굴로 온 적을 관별치 못한 나의 미력함을 벤것이다. 
적보다 더 무서운 너의 가난을 헤아리지 못한 나의 용렬함을 벤 것이다.
싸우기 위해, 싸워 이기기 위해 너를 베고.. 또한 나를 벨 수 밖에 없었다.",['싸움']
윤봉길,너희도 만일 피가 있고 뼈가 있다면 반드시 조선을 위하여 용감한 투사가 되어라. 태극의 깃발을 높이 드날리고 나의 빈 무덤 앞에 찾아와 한 잔 술을 부어 놓으라.,['대한민국 독립']
유관순,"내 손톱이 빠져 나가고, 내 귀와 코가 잘리고, 내 손과 다리가 부러져도 그 고통은 이길 수 있사오나, 나라를 잃어버린 그 고통만은 견딜 수가 없습니다. …중략…나라에 바칠 목숨이 오직 하나밖에 없는 것만이 이 소녀의 유일한 슬픔입니다.",['대한민국 독립']
안중근,내가 죽은 뒤에 나의 뼈를 하얼빈 공원 옆에 묻어두었다가 나라를 되찾거든 고국으로 옮겨 다오. 나는 천국에 가서도 마땅히 우리 나라의 독립을 위해 힘쓸 것이다. … 대한 독립의 소리가 천국에 들려오면 나는 마땅히 춤추며 만세를 부를 것이다.,['대한민국 독립']
퀴리 부인,나의 고통을 덜어준 것은 약이 아니라 자연과 신선한 산의 공기.,"['회복', '고통', '자연']"
반 고흐,슬픔은 영원히 남는 거야. 난 이제 집에 가는 거라고.,['슬픔']
카를 마르크스,유언이란 살아아서 충분히 말하지 못한 바보들이나 남기는 거야.,['유언']
괴테,"가설(假說)은, 건축하기 전에 마련되어 건물이 완성되면 제거되는 발판이다. 발판은 작업하는 사람이 있어야 한다. 다만, 작업하는 사람은 발판을 건물이라고 생각해서는 안 된다.",['건축']
괴테,감정과 의지에서 나오지 않는 예술은 참된 예술이라고 할 수 없다.,['예술']
알베르 카뮈,두려움 때문에 갖는 존경심만큼 비열한 것은 없다.,"['두려움', '존경심']"
앙투안 드 생텍쥐페리,사람은 오로지 가슴으로만 올바로 볼 수 있다. 본질적인 것은 눈에 보이지 않는다.,['본질']
앙투안 드 생텍쥐페리,사랑은 두 사람이 마주 쳐다보는 것이 아니라 함께 같은 방향을 바라보는 것이다.,['사랑']
버트런드 러셀,당신이 잘 하는 일이라면 무엇이나 행복에 도움이 된다.,['행복']
크리스티 매튜슨,승리하면 조금 배울 수 있고 패배하면 모든 것을 배울 수 있다.,"['승리', '패배', '배움']"
에릭 프롬,스스로를 신뢰하는 사람만이 다른 사람들에게 성실할 수 있다.,"['신뢰', '성실']"
이디스 워튼,빛을 퍼뜨릴 수 있는 두 가지 방법이 있다. 촛불이 되거나 또는 그것을 비추는 거울이 되는 것이다.,"['빛(light)', '행동', '귀감', '영향력', '선행']"
조지 오웰,과거를 지배하는 자가 미래를 지배하며 현재를 지배하는 자가 과거를 지배한다.,"['현재', '과거', '미래']"
괴테,"노동은 세개의 큰 악, 즉, 지루함, 부도덕, 그리고 가난을 제거한다.",['노동']
조지 버나드 쇼,지성을 소유하고 또 그렇다는 것을 아는 사람은 그렇지 못한 열 사람에게 언제나 승리한다.,['지성']
헨리 애덤스,힘 있을 때 친구는 친구가 아니다.,['친구']
엑토르 베를리오즈,시간은 위대한 스승이기는 하지만 불행히도 자신의 모든 제자를 죽인다.,['시간']
헬렌 켈러,세상은 고통으로 가득하지만 한편 그것을 이겨내는 일로도 가득차 있다.,"['고통', '인생살이', '세상']"
유대인 격언,가장 하기 힘든 일은 아무 일도 안하는 것이다.,"['일(work)', '무위']"
존 F. 케네디,배움이 없는 자유는 언제나 위험하며 자유가 없는 배움은 언제나 헛된 일입니다.,"['자유', '배움']"
존 F. 케네디,"당신이 자신은 2위로 만족한다고 일단 말하면, 당신의 인생은 그렇게 되기 마련이라는 것을 나는 깨달았다.","['믿음', '말(words)', '인생']"
벤저민 디즈레일리,당신의 정신을 위대한 사상으로 기르라. 영웅을 믿는 일이 영웅을 만들어 낸다.,"['정신', '영웅']"
칼라일,"영웅 숭배는 인류에 있어서는 어디서나 존재하고 있었고, 또 존재하고 있으며, 앞으로도 영구히 존재할 것이다.","['영웅', '숭배']"
에머슨,위인이란 소리를 듣는 것은 오해를 받는 일이다.,['위인']
라 로슈푸코,우리들은 모두 남의 불행에 견딜 수 있을 만큼 충분히 행복하다.,"['행복', '불행']"
제롤드,행복이란 우리집 화롯가에서 성장한다. 그것은 남의 집 뜰에서 따와서는 안 된다.,['행복']
보나르,"사랑은 진실을 고백했을 때 깨어지는 수가 있고, 우정은 허위로 깨어진다.","['사랑', '우정']"
장 드 라브뤼예르,시간은 우정을 강하게 만들고 사랑은 약하게 만든다.,"['우정', '사랑']"
칼즈,어떤 목적을 위해서 시작된 우정(友情)은 그 목적을 달할 때까지도 계속이 되지 않는다.,['우정']
토마스 풀러,오늘 달걀을 한 개 갖는 것보다 내일 암탉을 한 마리 갖는 편이 낫다.,"['절제', '현명함', '지혜', '인생살이']"
스땅달,사랑이란 마치 열병같아서 자기 의사와는 관계없이 생겼다간 꺼진다.,"['사랑', '연애', '나이']"
로망 롤랑,사랑이란 젊은 마음에는 너무나도 강력한 즐거움이다. 다른 어떤 신앙이 연애와 양립될 수 있을 것인가.,"['사랑', '연애', '즐거움']"
까뮈,정열은 강이나 바다와 가장 비슷하다. 아픈 것은 소리를 내지만 깊은 것을 침묵을 지킨다.,['정열']
쥬베르,언제나 사랑하고 있는 사람은 불평을 늘어 놓거나 불행에 빠지거나 할 겨를이 없다.,"['사랑', '연애']"
플라톤,에로스는 모든 신 중에서 인간의 최대의 벗이고 인류의 구조자이며 또 모든 고뇌의 의사다.,"['에로스(eros)', '사랑']"
A W 피네로,진심으로 사랑하는 사람은 결코 늙지 않는다.,['사랑']
칸트,진실한 사랑에 빠진 남자는 그 애인 앞에서 어쩔 줄을 몰라 제대로 사랑을 고백하지도 못한다.,"['남자', '사랑']"
아이텐드르프,"달콤한 사랑이여... 아아, 네게 날개가 없었으면 좋겠는데.",['사랑']
셰익스피어,사랑을 하고 있는 사람의 귀는 아무리 낮은 소리라도 다 알아듣는다.,['사랑']
오스카 와일드,"남자들은 자기보다도 못한 것을 사랑할 수가 있습니다. 보잘것없는 것, 더러운 것, 불명예스러운 것, 그런 것까지 사랑하실 수 있어요. 하지만 저희들 여자는 사랑하고 있을 때는 그 사람을 존경하는 거예요. 만약 그 존경을 잃어 버린다면 그들은 모든 것을 잃어버리고 마는 것입니다.","['남자', '여자', '사랑']"
푸시킨,어떠한 나이라도 사랑에는 약한 것이다. 그러나 젊고 순진한 가슴에는 그것이 좋은 열매를 맺는다.,"['사랑', '나이']"
윌리암 제롤드,사랑은 홍역과 같은 것이다. 나이가 들어서 걸리면 걸릴수록 중증을 나타낸다.,['사랑']
도브슨,사랑은 깨닫지 못하는 사이에 찾아 든다. 우리들은 다만 그것이 사라져가는 것을 볼 뿐이다.,['사랑']
조이시 C. 오츠,증오가 섞인 사랑은 사랑보다 강하고 증오보다 강하다.,"['증오', '사랑']"
풀 제라르디,연애란 남자가 단 한 사람의 여자에 만족하기 위해 치루는 노력이다.,"['남자', '연애']"
F.M. 밀러,아무도 사랑하는 것을 가르쳐 주는 사람은 없다. 사랑이란 우리의 생명과 같이 날 때부터 가지고 태어나는 것이다.,['사랑']
콘스탄트 비르질 게오르규,고독은 이 세상에서 가장 무서운 괴로움이다. 아무리 지독한 공포에도 모두가 함께 있으면 견딜만하지만 고독만은 죽음과 같다.,['고독']
막스 슈티르너,고독은 지혜의 최선의 유모다.,"['고독', '지혜']"
체호프,고독한 것이 두렵다면 결혼을 하지 마라.,"['고독', '결혼']"
